Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,6.8,$808.37M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,158.71,$91.29B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,3.79,$162.97M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,54.93,$8.24B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,16.71,$1.73B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.72,$36.83M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,51.02,$8.22B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.37,$565.92M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,19.01,$667.26M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",44.43,$3B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,26.2,$55.9B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,100.19,$177.22B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,97.7,$172.18B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,9.97,$621.89M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.17,$115.08M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,4.74,$404.83M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,9.83,$171.36M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.67,$102.84M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,7.91,$833.96M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,35.59,$2.37B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,12.16,$1.05B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",8.81,$690.51M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACN,Accenture plc,224.23,$142.79B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,6.86,$648.01M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",17.1807,$44.34M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AYI,"Acuity Brands, Inc. ",102.12,$4.05B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,37.1,$2.76B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",15.78,$1.72B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",11.8,$351.38M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo
ADCT,ADC Therapeutics SA,47,$3.32B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
AGRO,Adecoagro S.A.,4.64,$541.93M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,18.09,$1.7B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,8.08,$6.22B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,36.35,$1.88B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,149.4,$10.32B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",30.15,$2.72B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",49.8,$3.47B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,11.6,$324.85M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,13.77,$475.41M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk
ACM,AECOM,37.31,$5.97B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
AEFC,Aegon Funding Company LLC,24.29,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEB,Aegon NV,23.16,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEG,Aegon NV,3.14,$6.45B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AER,Aercap Holdings N.V.,29.36,$3.81B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",38.35,$3.01B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",71.99,$3.4B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",27.4638,n/a,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,36.66,$26.3B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",3.21,$105.36M,2011,n/a,n/a,https://old.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",14.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",14.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^b
MITT^C,"AG Mortgage Investment Trust, Inc.",14.57,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^c
AGCO,AGCO Corporation,63.24,$4.73B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",96.35,$29.75B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,69.98,$16.82B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,64.59,$3.48B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
AL,Air Lease Corporation,27.25,$3.1B,2011,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,20.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",295.51,$65.26B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
ALP^Q,Alabama Power Company,26.43,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",101.86,$1.21B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,11.09,$4.34B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",36.3,$4.45B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk
AIN,Albany International Corporation,52.62,$1.7B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,87.69,$9.32B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
ACI,"Albertsons Companies, Inc.",16,$7.66B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
AA,Alcoa Corporation,13.07,$2.43B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
ALC,Alcon Inc.,61.39,$29.97B,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",12.34,$892.26M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",251,$1.28B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",168.89,$21.3B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
AQN,Algonquin Power & Utilities Corp.,13.48,$7.88B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.2,n/a,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,26.83,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,251.7,$680.76B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba
Y,Alleghany Corporation,529.03,$7.57B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,9.6,$1.22B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
ALLE,Allegion plc,111.6,$10.29B,2013,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle
ALE,"Allete, Inc.",60.05,$3.11B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,42.57,$2.03B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.72,$394.38M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
AWF,Alliance World Dollar Government Fund II,10.4,$896.79M,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,28.96,$2.83B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,20.42,$700.88M,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.2,$167.96M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,4.51,$407.58M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,25.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,4,$304.46M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,25.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,25.265,$261.59M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",11.91,$1.13B,2005,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj
NIE,AllianzGI Equity & Convertible Income Fund,23.82,$660.03M,2007,n/a,n/a,https://old.nasdaq.com/symbol/nie
ALSN,"Allison Transmission Holdings, Inc.",37.97,$4.3B,2012,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),93.52,$29.38B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all
ALL^B,Allstate Corporation (The),26.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^b
ALL^G,Allstate Corporation (The),27.46,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),26.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^h
ALL^I,Allstate Corporation (The),26.24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^i
ALLY,Ally Financial Inc.,21.49,$8.03B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,23.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ally^a
PINE,"Alpine Income Property Trust, Inc.",14.49,$107.98M,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pine
ALTG,Alta Equipment Group Inc.,7.63,$225.17M,2019,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/altg
ALTG.WS,Alta Equipment Group Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/altg.ws
ALIN^A,Altera Infrastructure L.P.,15.3,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^a
ALIN^B,Altera Infrastructure L.P.,16.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^b
ALIN^E,Altera Infrastructure L.P.,16.06,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^e
AYX,"Alteryx, Inc.",168.16,$11.09B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",24.35,$14.45B,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus
MO,Altria Group,41.34,$76.82B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,6.71,$4.57B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ALUS,Alussa Energy Acquisition Corp.,10.05,$361.17M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/alus
ALUS.U,Alussa Energy Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/alus.u
ALUS.WS,Alussa Energy Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alus.ws
AMBC,"Ambac Financial Group, Inc.",13.47,$616.64M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBC.WS,"Ambac Financial Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ambc.ws
ABEV,Ambev S.A.,2.9,$45.63B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",4.03,$420.41M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,10.9,$17.16B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,80.21,$19.8B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",28.9,$1.37B,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",13.55,$58.63B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",13.67,$59.15B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",26.19,$1.57B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",7.59,$858.32M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,34.75,$4.78B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",10.09,$1.67B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",89.28,$44.25B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",52.22,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aep^b
AEL,American Equity Investment Life Holding Company,26.17,$2.4B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,21.82,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AEL^B,American Equity Investment Life Holding Company,24.58,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^b
AXP,American Express Company,96.54,$77.71B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",62.74,$5.64B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",27.247,n/a,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",26.18,$26.13M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGD,"American Financial Group, Inc.",26.22,n/a,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgd
AFGH,"American Financial Group, Inc.",25.66,n/a,2015,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,28.17,$8.48B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,25.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,25.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,25.62,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,25.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,26.32,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^h
AIG,"American International Group, Inc.",32.19,$27.72B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",27.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig^a
ARL,"American Realty Investors, Inc.",10.14,$162.21M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",6.79,$229.09M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara
AWR,American States Water Company,80.96,$2.99B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),259.04,$114.83B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,13.5,$407.21M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd
AWK,American Water Works,143.79,$26.03B,2008,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,38.98,$7.81B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",157.96,$19.32B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),103.81,$21.12B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
RYCE,Amira Nature Foods Ltd,6.76,$13.64M,2012,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/ryce
AMN,AMN Healthcare Services Inc,53.35,$2.51B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn
AMRX,"Amneal Pharmaceuticals, Inc.",4.44,$1.33B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx
AP,Ampco-Pittsburgh Corporation,2.85,$36.46M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap
APH,Amphenol Corporation,103.27,$30.56B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph
AXR,AMREP Corporation,4.58,$37.27M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr
HKIB,AMTD International Inc.,6.6,$1.62B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hkib
AME,"AMTEK, Inc.",93.62,$21.48B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame
PLAN,"Anaplan, Inc.",45.73,$6.29B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,19.8399,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dyfn
FINS,Angel Oak Financial Strategies Income Term Trust,16.115,$185.64M,2019,n/a,n/a,https://old.nasdaq.com/symbol/fins
AU,AngloGold Ashanti Limited,32.82,$13.67B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,54.47,$106.73B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/bud
NLY,Annaly Capital Management Inc,7.23,$10.34B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nly
NLY^D,Annaly Capital Management Inc,24.69,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,21.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,20.63,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^g
NLY^I,Annaly Capital Management Inc,22.1899,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^i
AM,Antero Midstream Corporation,5.96,$2.84B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am
AR,Antero Resources Corporation,2.69,$721.97M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",268.09,$67.59B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm
ANH,Anworth Mortgage Asset  Corporation,1.83,$181.06M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,22.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,17.41,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,20.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^c
AON,Aon plc,207.86,$48.13B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
AIV,Apartment Investment and Management Company,36.76,$5.47B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv
APG,APi Group Corporation,13.5,$2.29B,2020,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/apg
ARI,Apollo Commercial Real Estate Finance,9.63,$1.48B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
APO,"Apollo Global Management, Inc",53.19,$12.17B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, Inc",26.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, Inc",27.06,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^b
AFT,Apollo Senior Floating Rate Fund Inc.,12.37,$192.64M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,12.39,$179.21M,2013,n/a,n/a,https://old.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",8.99,$2.01B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",64.22,$2.49B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",118.5,$7.61B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr
APTV,Aptiv PLC,82.72,$22.34B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv
APTV^A,Aptiv PLC,107.555,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aptv^a
ARMK,Aramark,23.28,$5.88B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,9.12,$1.01B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,24.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,23.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,24.8958,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ARC,"ARC Document Solutions, Inc.",1.07,$46.51M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc
MT,ArcelorMittal,11.49,$12.56B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt
MTCN,ArcelorMittal,29.8,n/a,2020,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mtcn
ARCH,"Arch Resources, Inc.",28.34,$429.14M,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,41.16,$22.86B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",6.92,$1.06B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc
ARNC,Arconic Corporation,17.21,$1.88B,2020,n/a,n/a,https://old.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,4.91,$1B,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco
ACA,"Arcosa, Inc.",43.15,$2.08B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
RCUS,"Arcus Biosciences, Inc.",23.53,$1.22B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rcus
ARD,Ardagh Group S.A.,13.96,$3.3B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard
ASC,Ardmore Shipping Corporation,4.01,$133.23M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,25.4724,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/afc
ACRE,Ares Commercial Real Estate Corporation,9,$300.98M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",12.05,$276.13M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ardc
